timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:30:54.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,70,1410 MHz,50 %,144.66 W,4,13.50 W (freq-based estimate),326.38 W (est),16,64,1512 MHz,10 %
2025-10-19 07:30:56.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,70,1395 MHz,50 %,277.82 W,4,13.50 W (freq-based estimate),326.38 W (est),16,65,1512 MHz,10 %
2025-10-19 07:30:57.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,71,1410 MHz,50 %,310.25 W,4,13.50 W (freq-based estimate),326.38 W (est),16,64,1512 MHz,10 %
2025-10-19 07:30:58.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,70,1410 MHz,49 %,161.16 W,4,13.50 W (freq-based estimate),326.38 W (est),16,64,1512 MHz,10 %
2025-10-19 07:31:00.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.1 %,71,1395 MHz,51 %,326.64 W,4,13.50 W (freq-based estimate),326.38 W (est),16,66,1512 MHz,10 %
2025-10-19 07:31:01.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.1 %,70,1410 MHz,50 %,154.49 W,4,13.50 W (freq-based estimate),326.38 W (est),16,64,1512 MHz,10 %
2025-10-19 07:31:02.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,70,1410 MHz,0 %,100.57 W,4,13.50 W (freq-based estimate),326.16 W (est),16,62,1512 MHz,0 %
2025-10-19 07:31:04.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,70,1410 MHz,1 %,99.78 W,4,13.50 W (freq-based estimate),326.16 W (est),16,62,1512 MHz,0 %
2025-10-19 07:31:06.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,69,1365 MHz,47 %,298.09 W,4,13.50 W (freq-based estimate),326.16 W (est),16,65,1512 MHz,7 %
2025-10-19 07:31:07.6,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.0 %,71,1395 MHz,90 %,287.82 W,4,13.50 W (freq-based estimate),326.16 W (est),16,67,1512 MHz,14 %
2025-10-19 07:31:08.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,70,1365 MHz,82 %,290.88 W,4,13.50 W (freq-based estimate),326.16 W (est),16,67,1512 MHz,14 %
2025-10-19 07:31:10.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.0 %,71,1395 MHz,89 %,303.70 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,14 %
2025-10-19 07:31:11.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,71,1380 MHz,91 %,261.08 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,14 %
2025-10-19 07:31:12.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,72,1380 MHz,90 %,254.13 W,4,13.50 W (freq-based estimate),326.16 W (est),16,68,1512 MHz,14 %
2025-10-19 07:31:14.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,72,1380 MHz,90 %,219.56 W,4,13.50 W (freq-based estimate),326.16 W (est),16,69,1512 MHz,13 %
2025-10-19 07:31:15.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,72,1380 MHz,91 %,291.93 W,4,13.50 W (freq-based estimate),326.16 W (est),16,69,1512 MHz,14 %
2025-10-19 07:31:16.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,72,1380 MHz,87 %,287.04 W,4,13.50 W (freq-based estimate),326.16 W (est),16,69,1512 MHz,14 %
2025-10-19 07:31:18.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,72,1380 MHz,91 %,308.44 W,4,13.50 W (freq-based estimate),326.16 W (est),16,70,1512 MHz,14 %
2025-10-19 07:31:19.4,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,73,1365 MHz,92 %,305.60 W,4,13.50 W (freq-based estimate),326.16 W (est),16,70,1512 MHz,14 %
2025-10-19 07:31:20.7,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,73,1365 MHz,92 %,299.06 W,4,13.50 W (freq-based estimate),326.16 W (est),16,70,1512 MHz,14 %
2025-10-19 07:31:22.0,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,72,1380 MHz,90 %,254.57 W,4,13.50 W (freq-based estimate),326.16 W (est),16,70,1512 MHz,14 %
2025-10-19 07:31:23.3,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,73,1365 MHz,88 %,315.73 W,4,13.50 W (freq-based estimate),326.16 W (est),16,70,1512 MHz,14 %
2025-10-19 07:31:24.6,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,74,1365 MHz,86 %,294.95 W,4,13.50 W (freq-based estimate),326.16 W (est),16,71,1512 MHz,14 %
2025-10-19 07:31:25.9,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,74,1365 MHz,89 %,301.70 W,4,13.50 W (freq-based estimate),326.16 W (est),16,71,1512 MHz,15 %
2025-10-19 07:31:27.2,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,74,1380 MHz,86 %,295.16 W,4,13.50 W (freq-based estimate),326.16 W (est),16,71,1512 MHz,14 %
2025-10-19 07:31:28.5,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1350 MHz,0.0 %,1.0 %,74,1350 MHz,91 %,210.85 W,4,13.50 W (freq-based estimate),326.16 W (est),16,71,1512 MHz,14 %
2025-10-19 07:31:29.8,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,1.0 %,74,1380 MHz,92 %,241.99 W,4,13.50 W (freq-based estimate),326.16 W (est),16,72,1512 MHz,14 %
2025-10-19 07:31:31.1,workload_bart_small_centralus,NVIDIA A100 80GB PCIe,0,1365 MHz,0.0 %,1.0 %,73,1365 MHz,88 %,320.77 W,4,13.50 W (freq-based estimate),326.16 W (est),16,72,1512 MHz,14 %
