timestamp,task_name,name,index,clocks.current.graphics [MHz],cpu_usage,dram_usage,temperature.memory,clocks.current.sm [MHz],utilization.gpu [%],power.draw [W],pcie.link.gen.current,cpu_power,dram_power,pcie.link.width.current,temperature.gpu,clocks.current.memory [MHz],utilization.memory [%]
2025-10-19 07:26:03.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,26 %,257.80 W,4,13.50 W (freq-based estimate),326.16 W (est),16,65,1512 MHz,6 %
2025-10-19 07:26:05.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,72,1410 MHz,46 %,123.28 W,4,13.50 W (freq-based estimate),326.16 W (est),16,66,1512 MHz,10 %
2025-10-19 07:26:06.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,46 %,124.08 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,10 %
2025-10-19 07:26:07.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,31 %,126.53 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,7 %
2025-10-19 07:26:09.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.0 %,72,1395 MHz,35 %,141.21 W,4,13.50 W (freq-based estimate),326.16 W (est),16,65,1512 MHz,8 %
2025-10-19 07:26:10.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,72,1410 MHz,45 %,127.48 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,10 %
2025-10-19 07:26:11.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,46 %,125.97 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,10 %
2025-10-19 07:26:12.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,70,1410 MHz,36 %,120.59 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,8 %
2025-10-19 07:26:14.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,70,1410 MHz,39 %,121.19 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,9 %
2025-10-19 07:26:15.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,47 %,307.63 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,11 %
2025-10-19 07:26:16.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,36 %,120.49 W,4,13.50 W (freq-based estimate),326.16 W (est),16,65,1512 MHz,8 %
2025-10-19 07:26:18.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,31 %,129.07 W,4,13.50 W (freq-based estimate),326.16 W (est),16,63,1512 MHz,6 %
2025-10-19 07:26:19.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,70,1410 MHz,46 %,117.95 W,4,13.50 W (freq-based estimate),326.16 W (est),16,63,1512 MHz,11 %
2025-10-19 07:26:20.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,1.0 %,71,1395 MHz,46 %,283.75 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,10 %
2025-10-19 07:26:22.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,70,1410 MHz,30 %,119.96 W,4,13.50 W (freq-based estimate),326.16 W (est),16,64,1512 MHz,6 %
2025-10-19 07:26:23.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,70,1410 MHz,28 %,125.55 W,4,13.50 W (freq-based estimate),326.16 W (est),16,63,1512 MHz,6 %
2025-10-19 07:26:24.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,1.0 %,71,1410 MHz,25 %,128.36 W,4,13.50 W (freq-based estimate),326.16 W (est),16,63,1512 MHz,6 %
2025-10-19 07:26:26.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,70,1410 MHz,0 %,99.57 W,4,13.50 W (freq-based estimate),325.94 W (est),16,62,1512 MHz,0 %
2025-10-19 07:26:27.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,70,1410 MHz,0 %,99.19 W,4,13.50 W (freq-based estimate),325.94 W (est),16,61,1512 MHz,0 %
2025-10-19 07:26:29.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,69,1410 MHz,1 %,98.58 W,4,13.50 W (freq-based estimate),325.94 W (est),16,61,1512 MHz,0 %
2025-10-19 07:26:30.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,71,1410 MHz,21 %,231.03 W,4,13.50 W (freq-based estimate),325.94 W (est),16,64,1512 MHz,5 %
2025-10-19 07:26:31.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,70,1410 MHz,88 %,316.38 W,4,13.50 W (freq-based estimate),325.94 W (est),16,66,1512 MHz,22 %
2025-10-19 07:26:32.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,71,1395 MHz,87 %,265.32 W,4,13.50 W (freq-based estimate),325.94 W (est),16,66,1512 MHz,22 %
2025-10-19 07:26:34.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,71,1395 MHz,86 %,307.04 W,4,13.50 W (freq-based estimate),325.94 W (est),16,66,1512 MHz,22 %
2025-10-19 07:26:35.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,71,1395 MHz,84 %,257.88 W,4,13.50 W (freq-based estimate),325.94 W (est),16,67,1512 MHz,21 %
2025-10-19 07:26:36.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,71,1410 MHz,87 %,306.46 W,4,13.50 W (freq-based estimate),325.94 W (est),16,66,1512 MHz,22 %
2025-10-19 07:26:38.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,72,1395 MHz,88 %,285.17 W,4,13.50 W (freq-based estimate),325.94 W (est),16,68,1512 MHz,22 %
2025-10-19 07:26:39.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,72,1395 MHz,85 %,306.46 W,4,13.50 W (freq-based estimate),325.94 W (est),16,68,1512 MHz,22 %
2025-10-19 07:26:40.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,72,1380 MHz,88 %,337.03 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,22 %
2025-10-19 07:26:42.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1410 MHz,0.0 %,0.9 %,72,1410 MHz,89 %,291.05 W,4,13.50 W (freq-based estimate),325.94 W (est),16,68,1512 MHz,23 %
2025-10-19 07:26:43.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,72,1395 MHz,90 %,266.95 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,23 %
2025-10-19 07:26:44.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,73,1395 MHz,85 %,282.21 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,22 %
2025-10-19 07:26:46.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,72,1395 MHz,89 %,295.93 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,22 %
2025-10-19 07:26:47.3,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,72,1395 MHz,86 %,248.79 W,4,13.50 W (freq-based estimate),325.94 W (est),16,70,1512 MHz,22 %
2025-10-19 07:26:48.6,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,73,1395 MHz,87 %,317.19 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,22 %
2025-10-19 07:26:49.9,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,74,1395 MHz,90 %,306.99 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,23 %
2025-10-19 07:26:51.2,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,74,1395 MHz,89 %,301.49 W,4,13.50 W (freq-based estimate),325.94 W (est),16,70,1512 MHz,22 %
2025-10-19 07:26:52.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,74,1395 MHz,87 %,214.41 W,4,13.50 W (freq-based estimate),325.94 W (est),16,70,1512 MHz,22 %
2025-10-19 07:26:53.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,74,1395 MHz,87 %,198.85 W,4,13.50 W (freq-based estimate),325.94 W (est),16,69,1512 MHz,22 %
2025-10-19 07:26:55.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,74,1395 MHz,89 %,300.61 W,4,13.50 W (freq-based estimate),325.94 W (est),16,70,1512 MHz,22 %
2025-10-19 07:26:56.5,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,74,1395 MHz,89 %,279.72 W,4,13.50 W (freq-based estimate),325.94 W (est),16,71,1512 MHz,22 %
2025-10-19 07:26:57.8,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,75,1395 MHz,88 %,274.40 W,4,13.50 W (freq-based estimate),325.94 W (est),16,70,1512 MHz,22 %
2025-10-19 07:26:59.1,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,73,1395 MHz,90 %,312.48 W,4,13.50 W (freq-based estimate),325.94 W (est),16,71,1512 MHz,23 %
2025-10-19 07:27:00.4,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1395 MHz,0.0 %,0.9 %,75,1395 MHz,88 %,313.30 W,4,13.50 W (freq-based estimate),325.94 W (est),16,71,1512 MHz,22 %
2025-10-19 07:27:01.7,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,75,1380 MHz,88 %,276.88 W,4,13.50 W (freq-based estimate),325.94 W (est),16,72,1512 MHz,22 %
2025-10-19 07:27:03.0,workload_flan_t5_small_centralus,NVIDIA A100 80GB PCIe,0,1380 MHz,0.0 %,0.9 %,74,1380 MHz,84 %,301.07 W,4,13.50 W (freq-based estimate),325.94 W (est),16,72,1512 MHz,22 %
