timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:26:41.6,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,241.74 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,8 %,26 %,4
2025-10-22 15:26:42.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,119.68 W,48,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,41 %,4
2025-10-22 15:26:44.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,114.99 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,37 %,4
2025-10-22 15:26:45.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,116.74 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,41 %,4
2025-10-22 15:26:46.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,117.33 W,45,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,40 %,4
2025-10-22 15:26:48.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,137.26 W,47,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,30 %,4
2025-10-22 15:26:49.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,129.34 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,31 %,4
2025-10-22 15:26:50.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,123.17 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,42 %,4
2025-10-22 15:26:52.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,119.95 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,36 %,4
2025-10-22 15:26:53.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,112.64 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,40 %,4
2025-10-22 15:26:54.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,119.95 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,41 %,4
2025-10-22 15:26:56.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,117.88 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,9 %,40 %,4
2025-10-22 15:26:57.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,254.06 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,8 %,26 %,4
2025-10-22 15:26:58.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,244.40 W,47,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,9 %,37 %,4
2025-10-22 15:27:00.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,251.98 W,46,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,9 %,27 %,4
2025-10-22 15:27:01.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,117.88 W,45,251.32 W (est),1410 MHz,1215 MHz,1.4 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,10 %,43 %,4
2025-10-22 15:27:02.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,83.28 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,0 %,0 %,4
2025-10-22 15:27:04.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,64.50 W,40,251.16 W (est),1095 MHz,1215 MHz,1.3 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),39,0 %,0 %,4
2025-10-22 15:27:06.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,64.50 W,40,251.16 W (est),1095 MHz,1215 MHz,1.3 %,16,1095 MHz,0.0 %,13.50 W (freq-based estimate),39,0 %,3 %,4
2025-10-22 15:27:07.6,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,268.72 W,51,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),43,16 %,82 %,4
2025-10-22 15:27:08.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,301.82 W,53,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),44,17 %,81 %,4
2025-10-22 15:27:10.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,216.54 W,53,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),45,15 %,81 %,4
2025-10-22 15:27:11.6,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,266.05 W,53,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),45,16 %,82 %,4
2025-10-22 15:27:12.9,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,276.30 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,15 %,80 %,4
2025-10-22 15:27:14.2,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,228.23 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),46,16 %,82 %,4
2025-10-22 15:27:15.5,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,289.21 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,84 %,4
2025-10-22 15:27:16.8,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,262.56 W,54,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,82 %,4
2025-10-22 15:27:18.1,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,270.74 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,16 %,82 %,4
2025-10-22 15:27:19.4,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,289.21 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),47,17 %,81 %,4
2025-10-22 15:27:20.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,271.94 W,55,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,81 %,4
2025-10-22 15:27:22.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,274.56 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,81 %,4
2025-10-22 15:27:23.3,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,298.00 W,55,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,83 %,4
2025-10-22 15:27:24.7,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,259.62 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,85 %,4
2025-10-22 15:27:26.0,workload_bart_small_us-east1,NVIDIA A100-SXM4-40GB,0,230.97 W,56,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),48,16 %,82 %,4
