timestamp,task_name,name,index,power.draw [W],temperature.gpu,dram_power,clocks.current.graphics [MHz],clocks.current.memory [MHz],dram_usage,pcie.link.width.current,clocks.current.sm [MHz],cpu_usage,cpu_power,temperature.memory,utilization.memory [%],utilization.gpu [%],pcie.link.gen.current
2025-10-22 15:20:29.5,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,99.71 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),42,5 %,20 %,4
2025-10-22 15:20:30.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.06 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,20 %,4
2025-10-22 15:20:32.1,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,99.71 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:33.4,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,94.41 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:34.7,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,244.95 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,20 %,4
2025-10-22 15:20:36.0,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.33 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,20 %,4
2025-10-22 15:20:37.3,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,99.71 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:38.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.93 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:39.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,255.20 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,19 %,4
2025-10-22 15:20:41.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,181.05 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,20 %,4
2025-10-22 15:20:42.6,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,93.26 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,20 %,4
2025-10-22 15:20:43.9,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,102.33 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:45.2,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,100.58 W,43,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:46.5,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,217.14 W,45,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),41,5 %,20 %,4
2025-10-22 15:20:47.8,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,101.18 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,5 %,20 %,4
2025-10-22 15:20:49.1,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,96.22 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
2025-10-22 15:20:50.4,workload_flan_t5_small_us-east1,NVIDIA A100-SXM4-40GB,0,99.11 W,42,251.16 W (est),1410 MHz,1215 MHz,1.3 %,16,1410 MHz,0.0 %,13.50 W (freq-based estimate),40,11 %,41 %,4
