timestamp,task_name,name,index,clocks.current.graphics [MHz],clocks.current.memory [MHz],cpu_usage,dram_power,utilization.memory [%],dram_usage,power.draw [W],pcie.link.gen.current,utilization.gpu [%],cpu_power,temperature.gpu,clocks.current.sm [MHz],temperature.memory,pcie.link.width.current
2025-10-19 07:06:32.6,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),18 %,1.2 %,266.60 W,4,87 %,13.50 W (freq-based estimate),57,1410 MHz,49,16
2025-10-19 07:06:33.9,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,272.77 W,4,90 %,13.50 W (freq-based estimate),57,1410 MHz,49,16
2025-10-19 07:06:35.2,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,305.39 W,4,83 %,13.50 W (freq-based estimate),57,1410 MHz,49,16
2025-10-19 07:06:36.5,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,192.63 W,4,86 %,13.50 W (freq-based estimate),57,1410 MHz,50,16
2025-10-19 07:06:37.8,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,287.17 W,4,85 %,13.50 W (freq-based estimate),58,1410 MHz,50,16
2025-10-19 07:06:39.1,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,256.94 W,4,88 %,13.50 W (freq-based estimate),57,1410 MHz,50,16
2025-10-19 07:06:40.4,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,272.50 W,4,87 %,13.50 W (freq-based estimate),57,1410 MHz,50,16
2025-10-19 07:06:41.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,304.47 W,4,83 %,13.50 W (freq-based estimate),58,1410 MHz,51,16
2025-10-19 07:06:43.0,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),16 %,1.2 %,268.07 W,4,84 %,13.50 W (freq-based estimate),58,1410 MHz,50,16
2025-10-19 07:06:44.3,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,250.99 W (est),17 %,1.2 %,285.12 W,4,89 %,13.50 W (freq-based estimate),58,1410 MHz,51,16
2025-10-19 07:06:45.7,workload_bart_small_us-west1,NVIDIA A100-SXM4-40GB,0,1410 MHz,1215 MHz,0.0 %,251.32 W (est),0 %,1.2 %,140.49 W,4,0 %,13.50 W (freq-based estimate),49,1410 MHz,46,16
